
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 138 24 2018    1.63    0.43    0.36    2.65    1.85    0.02    0.00    0.00   -1.41    0.02    0.00    0.00   294.9    0.02
 139 24 2018   15.42    2.62    4.74    0.82    0.00    0.00    4.15    0.00    6.07    0.01    0.00    0.00   295.8    0.00
 140 24 2018    1.92    3.30    3.16    2.27    0.00    0.00   -4.15    0.00    5.36    0.01    0.00    0.00   298.0    0.00
 141 24 2018    0.04    0.02    0.02    5.93    2.11    0.00    0.00    0.00   -2.74    0.05    0.00    0.00   304.0   -0.06
 142 24 2018    0.96    0.10    0.00    5.16    4.02    0.01    0.00    0.00   -4.24    0.04    0.00    0.00   309.1    0.01
 143 24 2018    0.00    0.00    0.00    3.87    3.19    0.00    0.00    0.00   -3.86    0.02    0.00    0.00   313.0   -0.02
 144 24 2018    0.00    0.00    0.00    5.61    4.53   -0.01    0.00    0.00   -5.63    0.01    0.00    0.00   318.6    0.01
 145 24 2018    0.00    0.00    0.00    2.08    1.34    0.02    0.00    0.00   -2.12    0.01    0.00    0.00   320.7    0.02
 146 24 2018    0.00    0.00    0.00    1.07    0.63   -0.03    0.00    0.00   -1.02    0.01    0.00    0.00   321.7   -0.03
 147 24 2018    0.04    0.00    0.02    0.54    0.34    0.02    0.00    0.00   -0.56    0.00    0.00    0.00   322.3    0.01
 148 24 2018    0.96    0.00    0.01    0.79    0.02   -0.01    0.00    0.00    0.14    0.00    0.00    0.00   323.1    0.04
 149 24 2018    0.00    0.00    0.00    0.76    0.21   -0.01    0.00    0.00   -0.74    0.00    0.00    0.00   323.8   -0.01
 150 24 2018    0.00    0.00    0.00    0.61    0.22   -0.01    0.00    0.00   -0.57    0.00    0.00    0.00   324.5   -0.04
 151 24 2018    0.00    0.00    0.00    0.42    0.19   -0.01    0.00    0.00   -0.44    0.00    0.00    0.00   324.9    0.03
 152 24 2018    0.00    0.00    0.00    0.47    0.14    0.00    0.00    0.00   -0.43    0.00    0.00    0.00   325.3   -0.03
 153 24 2018    0.00    0.00    0.00    0.26    0.09    0.02    0.00    0.00   -0.31    0.00    0.00    0.00   325.6    0.02
 154 24 2018    0.00    0.00    0.00    0.18    0.04   -0.01    0.00    0.00   -0.17    0.00    0.00    0.00   325.8    0.00
 155 24 2018    0.00    0.00    0.00    0.32    0.07    0.00    0.00    0.00   -0.31    0.00    0.00    0.00   326.1   -0.01
 156 24 2018    0.00    0.00    0.00    0.22    0.05    0.00    0.00    0.00   -0.25    0.00    0.00    0.00   326.3    0.01
 157 24 2018    0.00    0.00    0.00    0.11    0.00    0.01    0.00    0.00   -0.15    0.00    0.00    0.00   326.4    0.03
 158 24 2018    0.00    0.00    0.00    0.23    0.00   -0.02    0.00    0.00   -0.21    0.00    0.00    0.00   326.7    0.00
 159 24 2018    0.00    0.00    0.00    0.16    0.00    0.01    0.00    0.00   -0.16    0.00    0.00    0.00   326.8   -0.02
 160 24 2018    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00   327.0   -0.01
 161 24 2018    0.00    0.00    0.00    0.16    0.00    0.01    0.00    0.00   -0.20    0.00    0.00    0.00   327.2    0.03
 162 24 2018    0.00    0.00    0.00    0.21    0.00   -0.01    0.00    0.00   -0.19    0.00    0.00    0.00   327.4   -0.01
 163 24 2018    0.00    0.00    0.00    0.04    0.00    0.02    0.00    0.00   -0.10    0.00    0.00    0.00   327.4    0.03
 164 24 2018    0.00    0.00    0.00    0.16    0.00   -0.01    0.00    0.00   -0.13    0.00    0.00    0.00   327.6   -0.02
 165 24 2018    0.04    0.00    0.02    0.17    0.00   -0.01    0.00    0.00   -0.12    0.00    0.00    0.00   327.8   -0.02
 166 24 2018    1.04    0.00    0.04    0.88    0.00    0.04    0.00    0.00    0.12    0.00    0.00    0.00   328.7   -0.03
 167 24 2018    3.08    0.00    0.73    1.36    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   330.0    0.02
 168 24 2018   26.83    0.00    4.74    1.04    0.00   -0.01    0.00    0.00   21.78    0.00    0.00    0.00   331.1    0.01
 169 24 2018    0.13    0.00    0.87    4.55    0.00    0.01    0.00    0.00   -0.56    0.00    0.00    0.00   335.6    0.00
 170 24 2018    2.88    0.00    0.35    2.68    0.32    0.00    0.00    0.00    0.68    0.02    0.00    0.00   338.3    0.01
 171 24 2018    0.00    0.00    0.00    3.17    2.32    0.00    0.00    0.00   -2.79    0.04    0.00    0.00   341.5   -0.06
 172 24 2018    0.00    0.00    0.00    5.97    4.87    0.01    0.00    0.00   -6.03    0.03    0.00    0.00   347.4    0.01
 173 24 2018    0.00    0.00    0.00    6.18    4.55   -0.02    0.00    0.00   -6.17    0.02    0.00    0.00   353.6    0.00
 174 24 2018    0.17    0.00    0.09    1.76    1.20    0.00    0.00    0.00   -1.74    0.01    0.00    0.00   355.4    0.05
 175 24 2018    3.83    0.00    0.00    2.91    0.22    0.00    0.00    0.00    0.96    0.01    0.00    0.00   358.3    0.04
 176 24 2018    0.00    0.00    0.00    2.36    1.37   -0.02    0.00    0.00   -2.35    0.01    0.00    0.00   360.6    0.01
 177 24 2018    0.00    0.00    0.00    0.91    0.50   -0.01    0.00    0.00   -0.90    0.01    0.00    0.00   361.5    0.00
 178 24 2018    0.00    0.00    0.00    0.57    0.29    0.00    0.00    0.00   -0.58    0.01    0.00    0.00   362.1    0.00
 179 24 2018    0.00    0.00    0.00    0.53    0.20   -0.01    0.00    0.00   -0.50    0.00    0.00    0.00   362.6   -0.02
 180 24 2018    0.04    0.00    0.02    0.30    0.11    0.03    0.00    0.00   -0.33    0.00    0.00    0.00   362.9    0.01
 181 24 2018    0.96    0.00    0.00    0.84    0.00    0.00    0.00    0.00    0.11    0.00    0.00    0.00   363.8    0.03
 182 24 2018    0.00    0.00    0.00    0.55    0.09   -0.01    0.00    0.00   -0.51    0.00    0.00    0.00   364.3   -0.04
 183 24 2018    0.00    0.00    0.00    0.40    0.08   -0.01    0.00    0.00   -0.35    0.00    0.00    0.00   364.7   -0.04
 184 24 2018    0.00    0.00    0.00    0.16    0.03    0.00    0.00    0.00   -0.20    0.00    0.00    0.00   364.9    0.03
 185 24 2018    0.00    0.00    0.00    0.06    0.02    0.03    0.00    0.00   -0.13    0.00    0.00    0.00   364.9    0.03
 186 24 2018    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00   365.0    0.06
 187 24 2018    0.29    0.00    0.15    0.23    0.01   -0.01    0.00    0.00   -0.04    0.00    0.00    0.00   365.2   -0.04
 188 24 2018    6.71    0.00    0.78    4.02    0.46    0.02    0.00    0.00    2.06    0.00    0.00    0.00   369.2   -0.03
 189 24 2018    0.00    0.00    0.00    2.32    0.76    0.00    0.00    0.00   -1.58    0.00    0.00    0.00   371.5    0.03
 190 24 2018    0.00    0.00    0.00    0.51    0.15   -0.03    0.00    0.00   -0.50    0.00    0.00    0.00   372.0    0.01
 191 24 2018    0.00    0.00    0.00    0.32    0.09   -0.01    0.00    0.00   -0.38    0.00    0.00    0.00   372.4    0.07
